artikelcode,merk,omschrijving
9171848,Pragmalux,Pragmalux LED 3-Fase Railspot Piccolo 7W 3000K CRI>90 33D 722lm Wit - Dimbaar
9171851,Pragmalux,Pragmalux LED 3-Fase Railspot Piccolo 7W 3000K CRI>90 33D 722lm Zwart - Dimbaar
2029736,Pragmalux,Pragmalux LED 3-Fase Railspot Punto component COB houder 20x24''
2038431,Pragmalux,"Pragmalux LED 3-Fase Railspot Punto component thermische pad 20x24x0,5mm 6W/m·K"
2029316,Pragmalux,Pragmalux LED Armatuur Hera/ Auva G3 accessoire afstandsbediening voor sensor
1043920,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro accessoire Ophangset
1043906,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro IK10 100-150-200W 4000K wit RAL9003 excl. driver
1043890-PH-DA,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro IK10 100W 4000K 13000lm DALI wit RAL9003 (440mA)
1043890-PH,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro IK10 100W 4000K 13000lm wit RAL9003 (440mA)
1043906-PH-DA,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro IK10 150W 4000K 18750lm DALI wit RAL9003 (675mA)
1043906-PH,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro IK10 150W 4000K 18750lm wit RAL9003 (675mA)
1043913-PH-DA,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro IK10 200W 4000K 25000lm DALI wit RAL9003 (440mA)
1043913-PH,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro IK10 200W 4000K 25000lm wit RAL9003 (440mA)
1043937,Pragmalux,Pragmalux LED Balvast Sporthalarmatuur Sparta Pro reserveonderdeel Opbouwset
2029842-TC-DA,Pragmalux,Pragmalux LED Bandrasterarmatuur Flexcore IP44 1720x145mm 36W 4850-5100lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 wit RAL9003 + TCI DALI Driver
2029842-UN,Pragmalux,"Pragmalux LED Bandrasterarmatuur Flexcore IP44 1720x145mm 36W 4850-5100lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 wit RAL9003 + UN Driver (DALI2, 1-10V, Push-dim)"
1000848,Pragmalux,Pragmalux LED Bewegingssensor
2029699,Pragmalux,Pragmalux LED Breedstraler Auva G3 100W bevestigingsbeugel paal Ø40-80 zwart
2029675,Pragmalux,Pragmalux LED Breedstraler Auva G3 100W muursteun bevestigingsbeugel 1m zwart
2029705,Pragmalux,Pragmalux LED Breedstraler Auva G3 200W bevestigingsbeugel paal Ø40-80 zwart
2033405,Pragmalux,Pragmalux LED Breedstraler Auva G3 200W muursteun bevestigingsbeugel 1m grijs
2033412,Pragmalux,Pragmalux LED Breedstraler Auva G3 200W muursteun bevestigingsbeugel 1m zwart
2029712,Pragmalux,Pragmalux LED Breedstraler Auva G3 300W bevestigingsbeugel paal Ø40-80 zwart
2029682,Pragmalux,Pragmalux LED Breedstraler Auva G3 50W bevestigingsbeugel paal Ø40-80 zwart
2029668,Pragmalux,Pragmalux LED Breedstraler Auva G3 50W muursteun bevestigingsbeugel 1m zwart
2029637,Pragmalux,Pragmalux LED Breedstraler Auva G3 component 50-200W muursteun bevestigingsbeugel 1m zwart
2029644,Pragmalux,Pragmalux LED Breedstraler Auva G3 component 50-300W bevestigingsbeugel paal Ø40-80 zwart
2029569,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 120-200W 3000K-5000K 3CCT 19500-32500lm asymmetrisch incl. photocell zwart RAL9004
2029606,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 120-200W 3000K-5000K 3CCT 19500-32500lm asymmetrisch zwart RAL9004  DALI2
2029576,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 180-300W 3000K-5000K 3CCT 30300-51500lm asymmetrisch zwart RAL9004
2029613,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 180-300W 3000K-5000K 3CCT 30300-51500lm asymmetrisch zwart RAL9004  DALI2
2029651,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 20-50W 3000K-5000K 3CCT 3050-7950lm asymmetrisch zwart RAL9004
2029583,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 300-500W 3000K-5000K 3CCT 50000-85000lm asymmetrisch zwart RAL9004
