artikelcode,merk,omschrijving
90523121515,Pragmalux,Pragmalux LED Bandrasterarmatuur Louvre MIRO 21W 2625lm UGR<19 840 opaale lens (1x36 / 1x28w vervanger)
2033214-PH,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic matte reflector 147x1570mm 26-36W 3550-4750lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 wit RAL9003 + Philips driver + plenum
Z1089362-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 145x1195mm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 wit RAL9003 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
Z1089379-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 145x1195mm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 zwart RAL9005 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
Z1089409-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 145x1495mm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 wit RAL9003 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
Z1089416-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 145x1495mm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 zwart RAL9005 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
Z1089423-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 145x1720mm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 wit RAL9003 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
Z1089430-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 145x1720mm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 zwart RAL9005 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
Z1089386-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 30x150cm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 wit RAL9003 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
Z1089393-TC-DA-ST5,Pragmalux,Pragmalux LED Bandrasterarmatuur Optic zwarte reflector 30x150cm 36W 4050-4400lm 3000K-3500K-4000K 3CCT CRI>90 UGR<16 zwart RAL9005 + TCI DALI Driver +  5P Aansluitsnoer B2ca + plenum
1000152-DA,Pragmalux,"Pragmalux LED Bulkhead Venus G2 DALI2 IP65 5,5W-19,5W 3000K-5000K 3-CCT 550-2250lm Ø300 (450mA)"
1000152-DA-N,Pragmalux,"Pragmalux LED Bulkhead Venus G2 DALI2 IP65 5,5W-19,5W 3000K-5000K 3-CCT 550-2250lm Ø300 + noodmodule 1H autotest (450mA)"
1048482-S,Pragmalux,"Pragmalux LED Bulkhead Venus G2 IP65 24-42V AC/DC  2,75W-5W 3000K-5000K 3-CCT 295-570lm Ø300 + bewegingssensor"
1048482-DS,Pragmalux,"Pragmalux LED Bulkhead Venus G2 IP65 24-42V AC/DC 2,75W-5W 3000K-5000K 3-CCT 295-570lm Ø300 + daglichtsensor"
1048451-DS,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 24-42V AC/DC 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300 + daglichtsensor
WO1046761-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit opbouw max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø150x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WO1046761-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Essence G2 IP54 wit opbouw max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø150x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting, 1 in 2"
WO1046778-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit opbouw max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø200x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WO1046778-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Essence G2 IP54 wit opbouw max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø200x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting, 1 in 2"
WS1046761-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø200 Buitenmaat - Gatmaat Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WS1046761-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø200 Buitenmaat - Gatmaat Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlas
WS1046778-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø250 Buitenmaat - Gatmaat Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WS1046778-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø250 Buitenmaat - Gatmaat Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlas
WV1046761-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 Buitenmaat - Gatmaat Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WV1046761-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 Buitenmaat - Gatmaat Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlast
WV1046778-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 Buitenmaat - Gatmaat Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WV1046778-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 Buitenmaat - Gatmaat Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlast
WV1046754,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 9W 3000K-6000K 3-CCT max. 1000lm 100D Ø146 Buitenmaat - Gatmaat Ø120 excl. LED Driver
ZO1046761-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart opbouw max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø150x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
ZO1046761-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Essence G2 IP54 zwart opbouw max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø150x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting, 1 in"
ZO1046778-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart opbouw max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø200x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
ZO1046778-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Essence G2 IP54 zwart opbouw max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø200x80(H) Buitenmaat incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting, 1 in"
ZS1046761-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø200 Buitenmaat - Gatmaat Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
ZS1046761-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø200 Buitenmaat - Gatmaat Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontl
ZS1046778-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø250 Buitenmaat - Gatmaat Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
ZS1046778-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø250 Buitenmaat - Gatmaat Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontl
ZS1046747,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 6W 3000K-6000K 3-CCT max. 690lm 100D Ø110 Buitenmaat - Gatmaat Ø90 excl. LED Driver
ZS1046754,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 9W 3000K-6000K 3-CCT max. 1000lm 100D Ø146 Buitenmaat - Gatmaat Ø120 excl. LED Driver
ZV1046761-TC-DA,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 B - G Ø150 incl. TCI DALI Driver
ZV1046761-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 B - G Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
ZV1046761-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 B - G Ø150 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontla
ZV1046761-TC-DA-ST3,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 B - G Ø150 incl. TCI DALI Driver incl. 3P snoer
ZV1046761-TC-DA-ST3S,Pragmalux,"Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 B - G Ø150 incl. TCI DALI Driver incl. 3P snoer /splitter, 1 in 2 uit"
ZV1046778-TC-DA,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 B - G Ø200 incl. TCI DALI Driver
ZV1046778-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 B - G Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
ZV1046778-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 B - G Ø200 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlast
ZV1046778-TC-DA-ST3,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 B - G Ø200 incl. TCI DALI Driver incl. 3P snoer
ZV1046778-TC-DA-ST3S,Pragmalux,"Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 B - G Ø200 incl. TCI DALI Driver incl. 3P snoer /splitter, 1 in 2 uit"
ZV1046747,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 6W 3000K-6000K 3-CCT max. 690lm 100D Ø110 Buitenmaat - Gatmaat Ø90 excl. LED Driver
ZV1046754,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 9W 3000K-6000K 3-CCT max. 1000lm 100D Ø146 Buitenmaat - Gatmaat Ø120 excl. LED Driver
1046686-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 15W 3000K-6000K 3-CCT max. 2000lm 60D Ø176 Buitenmaat - Gatmaat Ø150 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
1046686-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 15W 3000K-6000K 3-CCT max. 2000lm 60D Ø176 Buitenmaat - Gatmaat Ø150 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlastin
1046693-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 21W 3000K-6000K 3-CCT max. 2800lm 60D Ø226 Buitenmaat - Gatmaat Ø200 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
1046693-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 wit max. 21W 3000K-6000K 3-CCT max. 2800lm 60D Ø226 Buitenmaat - Gatmaat Ø200 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlastin
Z1046686-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 15W 3000K-6000K 3-CCT max. 2000lm 60D Ø176 Buitenmaat - Gatmaat Ø150 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
Z1046686-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 15W 3000K-6000K 3-CCT max. 2000lm 60D Ø176 Buitenmaat - Gatmaat Ø150 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlast
Z1046693-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 21W 3000K-6000K 3-CCT max. 2800lm 60D Ø226 Buitenmaat - Gatmaat Ø200 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer B2ca
Z1046693-TC-DA-ST5S,Pragmalux,Pragmalux LED Downlight Essence UGR IP54 zwart max. 21W 3000K-6000K 3-CCT max. 2800lm 60D Ø226 Buitenmaat - Gatmaat Ø200 UGR<19 incl. TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlast
Z1028477-PR-UN20,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 10-20W 900-2000lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim)"
Z1028477-PR-IP65,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 13W 1300-1350lm 3000K-4000K 2-CCT zwart +IP65 Driver
1028477-PH30-700,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø150 - Ø125 20-25W 1850-2550lm 3000K-4000K 2-CCT wit +Philips Driver
1028484-PH20-350,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 10-20W 900-2000lm 3000K-4000K 2-CCT wit +Philips Driver
Z1028484-PR-UN20,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 10-20W 900-2000lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim)"
1028484-PH30-700,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 20-26W 1850-2800lm 3000K-4000K 2-CCT wit +Philips Driver
Z1028484-PR-IP65,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 23W 2300-2350lm 3000K-4000K 2-CCT zwart +IP65 Driver
1028484-PR-UN40-GST5S,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 25-30W 2350-3250lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim) incl. GST18i5 en splitter en trekontlasting, 1 in 2 uit"
1028484-PR-UN40-GST5,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 25-30W 2350-3250lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim) incl.GST18i5"
Z1028484-PR-UN40,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 25-30W 2350-3250lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim)"
Z1028484-PR-UN40-GST5S,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 25-30W 2350-3250lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim) incl. GST18i5 en splitter en trekontlasting, 1 in 2 uit"
Z1028484-PR-UN40-GST5,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø172 - Ø150 25-30W 2350-3250lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim) incl.GST18i5"
1028491-PH20-350,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 10-20W 900-2000lm 3000K-4000K 2-CCT wit +Philips Driver
Z1028491-PR-UN20,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 10-20W 900-2000lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim)"
1028491-PH30-700,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 20-26W 1850-2800lm 3000K-4000K 2-CCT wit +Philips Driver
1028491-PR-UN40-GST5S,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 25-35W 2400-3550lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim) incl. GST18i5 en splitter en trekontlasting, 1 in 2 uit"
1028491-PR-UN40-GST5,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 25-35W 2400-3550lm 3000K-4000K 2-CCT wit +Universele LED Driver (DALI2, 1-10V, Push-dim) incl.GST18i5"
Z1028491-PR-UN40,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 25-35W 2400-3550lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim)"
Z1028491-PR-UN40-GST5S,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 25-35W 2400-3550lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim) incl. GST18i5 en splitter en trekontlasting, 1 in 2 uit"
Z1028491-PR-UN40-GST5,Pragmalux,"Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 25-35W 2400-3550lm 3000K-4000K 2-CCT zwart +Universele LED Driver (DALI2, 1-10V, Push-dim) incl.GST18i5"
Z1028491-PR-IP65,Pragmalux,Pragmalux LED Downlight Fora IP65 Ø235 - Ø200 38W 3800-3850lm 3000K-4000K 2-CCT zwart +IP65 Driver
2029217-PH,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210 +Philips driver
2029217-DA,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+ TCI DALI Driver
2029217-PH-ST3,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+Philips driver incl.3P snoer
2029217-PH-EUR,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+Philips driver incl.eurosnoer 2m wit
2029217-PH-ST3S,Pragmalux,"Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - GatmaatØ200-210+Philips driver incl.3P snoer/splitter, 1 in 2uit"
2029200-PH,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210 +Philips driver
2029200-PH-ST3,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210 +Philips driver incl.3P snoer
2029200-DA,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+ TCI DALI Driver
2029200-PH-EUR,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+Philips driver incl.eurosnoer 2m wit
2029200-PH-ST3S,Pragmalux,"Pragmalux LED Downlight Mondial COB IP54 facet reflector wit standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - GatmaatØ200-210+Philips driver incl.3P snoer/splitter, 1 in 2uit"
Z2029217-PH,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210 +Philips driver
Z2029217,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210 excl. LED Driver
Z2029217-DA,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+ TCI DALI Driver
Z2029217-PH-ST3,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+Philips driver incl.3P snoer
Z2029217-PH-EUR,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+Philips driver incl.eurosnoer 2m wit
Z2029217-PH-ST3S,Pragmalux,"Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4200lm 3000K CRI>90 UGR<19 60D Ø226 Buitenmaat - GatmaatØ200-210+Philips driver incl.3P snoer/splitter, 1 in 2uit"
Z2029200-PH,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210 +Philips driver
Z2029200,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210 excl. LED Driver
Z2029200-DA,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+ TCI DALI Driver
Z2029200-PH-ST3,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+Philips driver incl.3P snoer
Z2029200-PH-EUR,Pragmalux,Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - Gatmaat Ø200-210+Philips driver incl.eurosnoer 2m wit
Z2029200-PH-ST3S,Pragmalux,"Pragmalux LED Downlight Mondial COB IP54 facet reflector zwart standaard max. 38W max. 4400lm 4000K CRI>90 UGR<19 60D Ø226 Buitenmaat - GatmaatØ200-210+Philips driver incl.3P snoer/splitter, 1 in 2uit"
WPF1092379-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Mondial IP54 facet wit plat 16W 1800lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ132 - GØ120 +TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WPF1092379-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit plat 16W 1800lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ132 - GØ120 +TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting, 1 in 2 ui"
WPF1092386-TC-DA-ST5,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit plat 19,5W 2450lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ168 - GØ150 +TCI DALI Driver incl.  5P Aansluitsnoer B2ca"
WPF1092386-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit plat 19,5W 2450lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ168 - GØ150 +TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting, 1 in 2"
WPF1092393-TC-DA-ST5,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit plat 25,5W 3200lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ214 - GØ200 +TCI DALI Driver incl.  5P Aansluitsnoer B2ca"
WPF1092393-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit plat 25,5W 3200lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ214 - GØ200 +TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting, 1 in 2"
WSF1092379-TC-DA-ST5,Pragmalux,Pragmalux LED Downlight Mondial IP54 facet wit standaard 16W 1800lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ146 - GØ120-130 +TCI DALI Driver incl.  5P Aansluitsnoer B2ca
WSF1092379-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit standaard 16W 1800lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ146 - GØ120-130 +TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting,"
WSF1092386-TC-DA-ST5,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit standaard 19,5W 2450lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ176 - GØ150-160 +TCI DALI Driver incl.  5P Aansluitsnoer B2ca"
WSF1092386-TC-DA-ST5S,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit standaard 19,5W 2450lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ176 - GØ150-160 +TCI DALI Driver incl.  5P Aansluitsnoer en splitter en trekontlasting"
WSGF1092386-TC-DA-ST5,Pragmalux,"Pragmalux LED Downlight Mondial IP54 facet wit standaard 19,5W 2450lm 3000K-3500K-4000K 3-CCT CRI>90 UGR<19 60D BØ200 - GØ150-190 +TCI DALI Driver incl.  5P Aansluitsnoer B2ca"
